temp,humidity,precip,windspeed
18.9,63.1,0,26.3
18.3,70,0,24.1
18.4,62.1,0,20.5
18.9,64.1,0,27.7
18.5,71.1,0,25.5
19.7,64.3,0,28.2
19.4,62.9,0,29.5
19.7,64.2,0,30.1
19.5,64.6,0,26.7
18.6,67.4,0,22.7
18.6,63.3,0,23.7
18,67.9,0,23.7
19,62.3,0,24.1
20.1,64.1,0,25.5
20.5,67.7,0,28.8
19,76.7,0.7,26.4
19.6,68.7,0.2,21.9
19.3,63.6,0,25.9
20.3,63.7,0,23.4
20.5,69.3,0,23.7
20.6,66.2,0,27.8
19.4,69.7,0,25.9
19.8,68.5,0,32.5
21.6,62.7,7,33.6
20.7,69.5,8,27.8
20,69.9,1,26.7
21,64.7,0,33.5
22,58.4,0,30.1
21.8,56.8,0,34.9
21.7,60,0,35.7
21,61.2,0,34.9
20.7,60.8,0,24.8
20.1,60.3,0,25.9
20.2,54.7,0,25.2
20.2,60.2,0,25.6
20.9,58.2,0,26.7
21,56.8,0,27.7
21.1,60.1,0,25.2
20.9,58.5,0,27.7
20,60.1,0,23.4
20.1,61.4,0,23.4
21,58,0,25.1
20.8,62,7,24.1
21.3,61.1,0,27
20.3,67.2,5,31.6
20.8,64.8,0,27.8
21.1,61.6,0,34.6
21.1,62.9,0,33.5
19.9,75.7,0,33.7
21.2,59.7,0,31.7
22.2,52.7,0,24.1
21.9,55.5,0,30.5
22.3,61.4,0,33.5
20.5,74,0.4,24
20.2,71,0.2,34.1
20.1,74.2,3,26.7
20.1,69.8,0,27
20.7,67.9,0,26.6
20.5,64.2,0,30.4
20.5,64.8,0,23.4
21.6,60.8,0,30.8
19.1,80.3,23,29.5
20.9,65.6,0,34.9
20.7,62.2,0,31.9
21.2,60.5,0,29.5
20.1,67.8,0,28.7
19.5,78.1,13,40.7
18,85.4,4,25.9
18.2,81.4,20,24.1
18.9,85,16,30
18.4,86.8,11,40.7
18.2,89.5,3.4,22.7
18.8,86.4,10,29.5
19.1,82.7,13,22.3
19.9,78.1,3,20.8
18.2,86.7,23,20.3
18.2,85.1,5,21.3
19.3,84.6,20,32.8
19.7,76.2,0,21.2
20.2,78.2,0,30.1
19.8,82.6,0,30
19.2,79.7,0,30.5
19.7,74.6,0,32.5
20,76.8,0,25.9
20,78.2,0,30.5
18.4,82.4,0.6,33.5
19.3,66,0,27.3
19.1,61.1,0,29.5
19.4,71,0,25
19.9,72.5,0,27.7
20,72.3,0,22.3
20.1,73.8,3,29.8
20.1,72.8,0,31.1
19.2,83.4,0.3,33.5
19.3,77.4,0,33.5
19,71.9,0,28.6
20.2,65.5,0,21.8
20.9,72.1,0,28.8
21,66.4,0,31.7
20.8,66.8,0,35.3
20,61.7,0,28.3
20.1,61.6,0,32.5
20.3,70.3,0,30
19.2,81.3,1,36.3
19.9,73.5,0,37.1
19.1,77.9,0,51.8
20,73.1,0,31.6
19.6,78.6,12,27.7
19.9,64.2,0,29.5
21,59.9,0,25.9
21.3,66.7,0,28.6
20.6,74.1,1,26.7
20.4,72.4,0,33.5
20.8,64.5,0,31.7
20.7,63.3,0,28.4
20.3,58.8,0,33.9
19.7,56.8,0,29.5
20.3,58.4,0,31.6
20.4,62,0,25.9
20.6,58.4,0,21.8
21.4,53.4,0,24.8
21.3,51.3,0,31.7
19.9,54.5,0,37.1
19.3,55.4,0,37.1
19.6,48.6,0,30.1
20.2,51.4,0,27.8
21.3,52.3,0,22.3
21.4,55.2,0,33.5
20.4,56.2,0,29.5
19.2,58.4,0,27.7
20.4,50.4,0,26.7
21.3,53.3,0,27.3
21,57.9,0,29.5
21.2,63.6,0,29.5
20.8,66.4,0,30.3
20.5,64.4,0,29.5
20.8,62.5,0,29.8
22,53.4,0,33.5
21.6,57.6,0,28.7
22.6,52.4,0,25.6
22.4,56,0,26.7
22.3,63.1,1,27.1
23,60,0,30.5
21.2,69.7,25,31.5
21.5,69.2,0,26.4
22.2,66.6,0,30.5
22,51.4,0,29.8
21.6,55.5,0,33.5
20.8,62.6,0,33.9
20.5,65.5,0,33.8
21.6,61.4,0,33.5
22.2,57.9,0,33.8
21.9,55.7,0,31.7
20.7,55.7,0,30.3
22,54,0,33.5
22,57.8,0,31.4
22,59.3,0,32.8
21.8,62,0,32.1
19,71.2,0,37.1
21.3,60.5,0,37.1
21.6,65,10,25.6
21.4,64.1,0,28
19.9,77.8,2.7,25.8
19.7,72.4,0,31.1
20.2,61.6,0,27.7
20.1,59.8,0,24.1
21.9,59.1,0,28.8
22.9,58.4,0,33.5
21.9,65.6,0,35.3
22.7,58.8,0,33.5
22.1,60.4,0,27.7
21.6,63.9,2,31.2
21.2,61.4,0,37.1
21.8,53.6,0,22.3
23.1,52,0,25.9
22.2,61.3,0,27.7
23.1,55.3,0,29.5
23.3,51.2,0,30.4
23.7,45.4,0,33.5
23.1,41.9,0,36.7
22.6,45.8,0,24.5
23.4,42.8,0,39.3
22.7,48.7,0,41.7
19.5,65.2,0,33.5
25.3,47.7,0,27.7
23,55.8,1,28
23.3,56.1,7,31.1
23.3,52.2,0,28.9
23.5,51.7,0,25.9
22.6,61.5,0.2,37.1
22.9,60.5,3,36.2
23,58.4,0,30.3
22.8,60.2,0,26.3
21.7,71.9,0,44.6
23.3,55.7,0,29.5
23.6,52.5,0,33.5
24.4,51.7,0,25.6
24,56,0,21
22.4,64.8,3,33.5
21.8,66.9,2,27.7
21.5,70.4,2,34.9
21.7,66.9,0,29.2
22.1,60.9,0,28.9
22.5,57.7,0,29.5
23.6,51.5,0,29.5
22.3,58.1,0,21.9
23.3,56.9,0,25.9
21.9,63.9,0,27.7
20.3,76.1,31,23.2
19.5,80.7,13,27.7
19.2,82.2,0,37.1
19.8,79.7,1,34.6
19.5,79.9,0,33
20.9,68.9,0,29.5
21.1,67.4,0,31.7
21.4,64.1,0,27.7
21.5,62.1,0,23
21.8,61.1,0,23.4
22.5,65.7,0,28.4
21.3,74.6,4,27.1
19.8,82.8,18,27.7
19.8,80.2,2,25.7
20.3,77.5,2,24.1
20,78.1,2,32.5
20.2,78.1,0,29.5
20.1,74.7,0,25.5
20.6,72.4,0,23
20.3,71.2,0,19
20.8,68.9,0,22.3
20.7,67.7,0,24.5
20.7,68.4,0,19.7
21,70.2,0,23.7
20.5,71.3,0,20.5
19.6,80.7,14,20.4
19.6,79.1,4,25.5
19.8,79.8,1,15.1
20,78.9,0,23.6
19,85.8,9.2,23.4
18.9,87.7,13,19.1
19.9,78.6,4,20.8
19.3,84.1,7,19.7
19.9,77.8,0,23.4
19.5,80,0,27.8
20.2,77.1,0,19.7
20,79.8,6,23.6
19.6,76.1,0,24.8
20,72.6,0,20.8
19.3,76.3,0,22.1
19.6,76.7,0,19.7
20.1,74,0,21.1
19.6,76,0,19.9
19.6,75.9,0,20.8
19.6,72.2,0,18.4
20.2,69.5,0.2,21.6
19.8,72.2,0,24.8
19.3,74.6,0,22.3
19.7,70.1,0,21
20.4,69.1,0,24.5
20,63.6,0,23.4
21,63.7,0,21.2
20.1,77.7,2,22.3
18.6,82.8,0,17.5
19.3,75,3,17.7
19.2,74,0,18.4
20.4,69.3,0,18.4
20.1,74.6,0,24.5
20.6,70.5,0,24.5
19.7,72.4,0,19.7
19.4,71.9,0,18.4
19.9,69.3,0,21.2
19.4,70.9,0,22.9
19.4,74.3,0,21.2
20.3,69.4,0,26.7
19.3,67.9,0,18.8
18.8,64,0,24.1
18.6,70.2,0,19.7
19.4,67.8,0,21.2
19.9,66,0,19.7
19.5,65.9,0,19
19.2,67,0,17
18.4,63,0,19.7
19.3,63,0,21.2
18.7,64.5,0,19.7
18.9,67.2,0,17.2
19.9,67.8,2,27.1
18.3,72.4,0,21.2
18.7,68.7,0,18.4
18.4,70.2,0,24.1
19.5,69.4,0,20.8
17.4,75,0,15.2
18.4,69.4,0,19.7
